person,FormerColony,label,relation
Q6827914,1,Phil Simmons,equivalent-to
Q6827914,1,Phil Simmons,member
Q6827914,1,Phil Simmons,position-held
Q3520174,1,Nasser Hussain,member
Q3520174,1,Nasser Hussain,position-held
Q6836032,0,Peter Such,member
Q6836032,0,Peter Such,position-held
Q6766945,0,Mark Butcher,member
Q6766945,0,Mark Butcher,position-held
Q3537597,0,Tom Moody,member
Q3537597,0,Tom Moody,position-held
Q3537597,0,Tom Moody,member
Q3537597,0,Tom Moody,position-held
Q5605307,0,Greg Blewett,position-held
Q5605307,0,Greg Blewett,position-held
Q5605307,0,Greg Blewett,position-held
Q5605307,0,Greg Blewett,position-held
Q6584108,0,Martin McCague,opposite
Q6584108,0,Martin McCague,position-held
Q483583,0,Alan Shearer,position-held
Q483583,0,Alan Shearer,position-held
Q483583,0,Alan Shearer,position-held
Q299391,0,Tony Adams,position-held
Q234576,0,Teddy Sheringham,position-held
Q311709,0,Les Ferdinand,position-held
Q174595,1,Jansher Khan,position-held
Q174595,1,Jansher Khan,geographicalRelation
Q174595,1,Jansher Khan,participated
Q3610466,0,Dan Jenson,participated
Q3610466,0,Dan Jenson,geographicalRelation
Q336331,0,Rodney Eyles,geographicalRelation
Q336331,0,Rodney Eyles,participated
Q942937,0,Scott Draper,participated
Q942937,0,Scott Draper,geographicalRelation
Q3013095,0,Daniel Herbert,equivalent-to
Q3013095,0,Daniel Herbert,position-held
Q3013095,0,Daniel Herbert,position-held
Q3013095,0,Daniel Herbert,equivalent-to
Q3013095,0,Daniel Herbert,position-held
Q3013095,0,Daniel Herbert,position-held
Q3014401,0,Daniel Manu,position-held
Q3017962,0,David Giffin,position-held
Q349135,0,Ian Healy,opposite
Q349135,0,Ian Healy,member
Q349135,0,Ian Healy,position-held
Q349135,0,Ian Healy,position-held
Q349135,0,Ian Healy,opposite
Q349135,0,Ian Healy,member
Q349135,0,Ian Healy,position-held
Q349135,0,Ian Healy,position-held
Q349135,0,Ian Healy,opposite
Q349135,0,Ian Healy,member
Q349135,0,Ian Healy,position-held
Q349135,0,Ian Healy,position-held
Q349135,0,Ian Healy,opposite
Q349135,0,Ian Healy,member
Q349135,0,Ian Healy,position-held
Q349135,0,Ian Healy,position-held
Q719333,0,Peter Nicol,geographicalRelation
Q719333,0,Peter Nicol,participated
Q259026,0,Sandrine Testud,geographicalRelation
Q259026,0,Sandrine Testud,participated
Q221737,0,Tim Henman,geographicalRelation
Q221737,0,Tim Henman,participated
Q463811,0,Doug Flach,participated
Q463811,0,Doug Flach,geographicalRelation
Q83859,0,John Milius,contributes
Q2625337,0,George Hearn,position-held
Q2517245,0,Verna Fields,position-held
Q310949,0,Mark Philippoussis,geographicalRelation
Q310949,0,Mark Philippoussis,participated
Q559917,0,David Rikl,participated
Q559917,0,David Rikl,geographicalRelation
Q560175,1,Guy Forget,geographicalRelation
Q560175,1,Guy Forget,participated
Q11677,0,Lindsay Davenport,geographicalRelation
Q11677,0,Lindsay Davenport,participated
Q233339,1,Amanda Coetzer,geographicalRelation
Q233339,1,Amanda Coetzer,participated
Q1640440,0,Roberto Carretero,participated
Q1640440,0,Roberto Carretero,geographicalRelation
Q2885212,0,Manuel Toharia,geographicalRelation
Q2885212,0,Manuel Toharia,position-held
Q2885212,0,Manuel Toharia,position-held
Q255657,0,Loyola de Palacio,equivalent-to
Q255657,0,Loyola de Palacio,opposite
Q255657,0,Loyola de Palacio,position-held
Q3241386,0,Linda Wild,geographicalRelation
Q3241386,0,Linda Wild,participated
Q62208,0,Barbara Rittner,participated
Q62208,0,Barbara Rittner,geographicalRelation
Q105868,1,Gabriela Sabatini,participated
Q105868,1,Gabriela Sabatini,geographicalRelation
Q1146217,1,Fernando Lamas,position-held
Q9446,0,Pete Sampras,geographicalRelation
Q9446,0,Pete Sampras,participated
Q1972672,0,Vernon Davis,position-held
Q189554,0,Katherine Heigl,contributes
Q189554,0,Katherine Heigl,position-held
Q189554,0,Katherine Heigl,contributes
Q189554,0,Katherine Heigl,position-held
Q189554,0,Katherine Heigl,contributes
Q189554,0,Katherine Heigl,position-held
Q189554,0,Katherine Heigl,contributes
Q189554,0,Katherine Heigl,position-held
Q552674,0,Michael Tebbutt,participated
Q552674,0,Michael Tebbutt,geographicalRelation
Q308459,0,Rod Taylor,member
Q308459,0,Rod Taylor,position-held
Q229225,0,Claudia Black,position-held
Q229225,0,Claudia Black,position-held
Q229225,0,Claudia Black,contributes
Q275502,0,Virginia Hey,position-held
Q275502,0,Virginia Hey,position-held
Q275502,0,Virginia Hey,contributes
Q3358996,0,Owen Finegan,opposite
Q3358996,0,Owen Finegan,position-held
Q3358996,0,Owen Finegan,position-held
Q3358996,0,Owen Finegan,opposite
Q3358996,0,Owen Finegan,position-held
Q3358996,0,Owen Finegan,position-held
Q3528646,0,Tim Horan,position-held
Q3368542,0,Pat Howard,position-held
Q636885,0,Tim Gavin,position-held
Q2846568,0,Andrew Blades,position-held
Q3107260,0,Jason Gillespie,position-held
Q10129,0,Lisa Raymond,geographicalRelation
Q10129,0,Lisa Raymond,participated
Q297948,0,Kimberly Po,participated
Q297948,0,Kimberly Po,geographicalRelation
Q313705,0,Jason Schwartzman,position-held
Q1677212,0,Jack Splash,position-held
Q1383657,0,Willard Huyck,position-held
Q133631,0,Gloria Katz,position-held
Q102642,0,Diane Keaton,participated
Q102642,0,Diane Keaton,position-held
Q102642,0,Diane Keaton,equivalent-to
Q102642,0,Diane Keaton,participated
Q102642,0,Diane Keaton,position-held
Q102642,0,Diane Keaton,equivalent-to
Q102642,0,Diane Keaton,participated
Q102642,0,Diane Keaton,position-held
Q102642,0,Diane Keaton,equivalent-to
Q370417,0,Lawrence Turman,position-held
Q42930,0,Dustin Hoffman,position-held
Q229394,0,Elizabeth Mitchell,position-held
Q229394,0,Elizabeth Mitchell,contributes
Q1277018,0,Richard Boone,position-held
Q34460,0,Gwyneth Paltrow,position-held
Q277802,0,Thomas Johansson,participated
Q277802,0,Thomas Johansson,geographicalRelation
Q312717,0,Petr Korda,geographicalRelation
Q312717,0,Petr Korda,participated
Q718178,0,Bohdan Ulihrach,participated
Q718178,0,Bohdan Ulihrach,geographicalRelation
Q173633,0,Monica Seles,geographicalRelation
Q173633,0,Monica Seles,participated
Q264088,1,Dally Randriantefy,participated
Q264088,1,Dally Randriantefy,geographicalRelation
Q54536,0,Todd Martin,geographicalRelation
Q54536,0,Todd Martin,participated
Q54536,0,Todd Martin,participated
Q54536,0,Todd Martin,position-held
Q54536,0,Todd Martin,geographicalRelation
Q54536,0,Todd Martin,participated
Q54536,0,Todd Martin,participated
Q54536,0,Todd Martin,position-held
Q201593,0,Andrea Gaudenzi,participated
Q201593,0,Andrea Gaudenzi,geographicalRelation
Q189542,0,Stefan Edberg,geographicalRelation
Q189542,0,Stefan Edberg,participated
Q73280,0,Bernd Karbacher,participated
Q73280,0,Bernd Karbacher,geographicalRelation
Q7407,0,Andre Agassi,position-held
Q7407,0,Andre Agassi,position-held
Q54691,0,MaliVai Washington,position-held
Q54691,0,MaliVai Washington,position-held
Q54691,0,MaliVai Washington,position-held
Q54691,0,MaliVai Washington,position-held
Q957450,0,Jeff Tarango,participated
Q957450,0,Jeff Tarango,position-held
Q957450,0,Jeff Tarango,participated
Q957450,0,Jeff Tarango,position-held
Q957450,0,Jeff Tarango,participated
Q957450,0,Jeff Tarango,position-held
Q296282,1,Leander Paes,participated
Q296282,1,Leander Paes,geographicalRelation
Q142656,0,Randall Cunningham,position-held
Q142656,0,Randall Cunningham,position-held
Q142656,0,Randall Cunningham,position-held
Q1688112,0,Jesper Parnevik,geographicalRelation
Q10993,0,Tiger Woods,position-held
Q10993,0,Tiger Woods,position-held
Q7048193,0,Nolan Henke,position-held
Q82925,0,Joseph Conrad,contributes
Q82925,0,Joseph Conrad,contributes
Q82925,0,Joseph Conrad,contributes
Q82925,0,Joseph Conrad,contributes
Q211731,0,Timothy Leary,position-held
Q211731,0,Timothy Leary,position-held
Q392,0,Bob Dylan,position-held
Q392,0,Bob Dylan,position-held
Q392,0,Bob Dylan,position-held
Q392,0,Bob Dylan,position-held
Q392,0,Bob Dylan,position-held
Q392,0,Bob Dylan,position-held
Q28028,1,Alfonso Cuarón,contributes
Q28028,1,Alfonso Cuarón,contributes
Q28028,1,Alfonso Cuarón,contributes
Q28028,1,Alfonso Cuarón,contributes
Q28028,1,Alfonso Cuarón,contributes
Q171091,0,Philip K. Dick,contributes
Q171091,0,Philip K. Dick,contributes
Q171091,0,Philip K. Dick,contributes
Q212879,0,Kim Novak,position-held
Q347481,0,Walter Dyett,relationship
Q299225,0,Evan Lysacek,usage
Q299225,0,Evan Lysacek,participated
Q1990672,0,L. Scott Caldwell,contributes
Q1990672,0,L. Scott Caldwell,position-held
Q230465,0,Kiele Sanchez,position-held
Q230465,0,Kiele Sanchez,contributes
Q83338,0,Robin Williams,position-held
Q8704,0,Walt Disney,position-held
Q6197,0,Horace,member
Q6197,0,Horace,member
Q6197,0,Horace,member
Q6197,0,Horace,member
Q6197,0,Horace,member
Q6197,0,Horace,member
Q822610,0,Bernard Miles,position-held
Q937,0,Albert Einstein,geographicalRelation
Q937,0,Albert Einstein,geographicalRelation
Q937,0,Albert Einstein,geographicalRelation
Q937,0,Albert Einstein,geographicalRelation
Q937,0,Albert Einstein,geographicalRelation
Q937,0,Albert Einstein,geographicalRelation
Q937,0,Albert Einstein,geographicalRelation
Q882,0,Charlie Chaplin,relationship
Q882,0,Charlie Chaplin,member
Q882,0,Charlie Chaplin,member
Q882,0,Charlie Chaplin,relationship
Q882,0,Charlie Chaplin,member
Q882,0,Charlie Chaplin,member
Q313216,1,Uzziah,participated
Q313216,1,Uzziah,position-held
Q701793,1,Itamar Rabinovich,position-held
Q701793,1,Itamar Rabinovich,position-held
Q701793,1,Itamar Rabinovich,position-held
Q43247,0,Ingrid Bergman,contributes
Q43247,0,Ingrid Bergman,position-held
Q43247,0,Ingrid Bergman,contributes
Q43247,0,Ingrid Bergman,position-held
Q232937,0,Sandrine Bonnaire,position-held
Q123206,0,Bruno Ganz,position-held
Q182870,0,Mario Puzo,participated
Q182870,0,Mario Puzo,participated
Q182870,0,Mario Puzo,participated
Q182870,0,Mario Puzo,participated
Q182870,0,Mario Puzo,participated
Q182870,0,Mario Puzo,participated
Q160528,0,Burt Lancaster,position-held
Q80596,0,Arthur Miller,position-held
Q80596,0,Arthur Miller,position-held
Q80596,0,Arthur Miller,position-held
Q44200,0,Billy the Kid,geographicalRelation
Q999332,0,Buck Henry,position-held
Q4409586,0,Nina Axelrod,position-held
Q297618,0,Adam Savage,member
Q297618,0,Adam Savage,position-held
Q7407730,0,Sam Katzman,position-held
Q934087,0,William Castle,position-held
Q946859,0,Keenan Wynn,position-held
Q941961,0,Derek Shepherd,relationship
Q941961,0,Derek Shepherd,contributes
Q941961,0,Derek Shepherd,position-held
Q941961,0,Derek Shepherd,relationship
Q941961,0,Derek Shepherd,contributes
Q941961,0,Derek Shepherd,position-held
Q56014,0,George Cukor,position-held
Q193635,0,Alan Greenspan,position-held
Q193635,0,Alan Greenspan,position-held
Q288359,0,Lena Dunham,contributes
Q288359,0,Lena Dunham,position-held
Q188137,0,J. J. Abrams,contributes
Q188137,0,J. J. Abrams,equivalent-to
Q188137,0,J. J. Abrams,contributes
Q188137,0,J. J. Abrams,equivalent-to
Q293323,0,Lynn Ahrens,participated
Q5257661,0,Denise Faye,position-held
Q5257661,0,Denise Faye,contributes
Q42745,0,Rita Hayworth,position-held
Q9696,0,John F. Kennedy,participated
Q9696,0,John F. Kennedy,geographicalRelation
Q9696,0,John F. Kennedy,position-held
Q9696,0,John F. Kennedy,participated
Q9696,0,John F. Kennedy,geographicalRelation
Q9696,0,John F. Kennedy,position-held
Q9696,0,John F. Kennedy,participated
Q9696,0,John F. Kennedy,geographicalRelation
Q9696,0,John F. Kennedy,position-held
Q9696,0,John F. Kennedy,participated
Q9696,0,John F. Kennedy,geographicalRelation
Q9696,0,John F. Kennedy,position-held
Q9696,0,John F. Kennedy,participated
Q9696,0,John F. Kennedy,geographicalRelation
Q9696,0,John F. Kennedy,position-held
Q9696,0,John F. Kennedy,participated
Q9696,0,John F. Kennedy,geographicalRelation
Q9696,0,John F. Kennedy,position-held
Q9696,0,John F. Kennedy,participated
Q9696,0,John F. Kennedy,geographicalRelation
Q9696,0,John F. Kennedy,position-held
Q9696,0,John F. Kennedy,participated
Q9696,0,John F. Kennedy,geographicalRelation
Q9696,0,John F. Kennedy,position-held
Q9696,0,John F. Kennedy,participated
Q9696,0,John F. Kennedy,geographicalRelation
Q9696,0,John F. Kennedy,position-held
Q517908,0,Hans Kmoch,opposite
Q517908,0,Hans Kmoch,position-held
Q1403472,0,Felix Frankfurter,contributes
Q1403472,0,Felix Frankfurter,position-held
Q1398,0,Virgil,member
Q1398,0,Virgil,member
Q1398,0,Virgil,member
Q1398,0,Virgil,member
Q1398,0,Virgil,member
Q39837,0,Averroes,member
Q6691,0,Homer,member
Q6691,0,Homer,member
Q6691,0,Homer,relationship
Q6691,0,Homer,relationship
Q6691,0,Homer,relationship
Q859,0,Plato,member
Q8581,1,Saladin,member
Q342419,0,Toby Jones,position-held
Q342419,0,Toby Jones,contributes
Q342419,0,Toby Jones,position-held
Q342419,0,Toby Jones,contributes
Q342419,0,Toby Jones,position-held
Q342419,0,Toby Jones,contributes
Q342419,0,Toby Jones,position-held
Q342419,0,Toby Jones,contributes
Q1272489,0,Ralph Ineson,position-held
Q1272489,0,Ralph Ineson,contributes
Q1272489,0,Ralph Ineson,position-held
Q1272489,0,Ralph Ineson,contributes
Q1272489,0,Ralph Ineson,position-held
Q1272489,0,Ralph Ineson,contributes
Q1272489,0,Ralph Ineson,position-held
Q1272489,0,Ralph Ineson,contributes
Q13888,0,Luchino Visconti,position-held
Q106529,0,Alain Delon,position-held
Q107006,1,Claudia Cardinale,position-held
Q57231,0,Tom Tykwer,position-held
Q174943,0,Belisarius,topic
Q174943,0,Belisarius,geographicalRelation
Q170386,0,Pope Innocent II,position-held
Q170386,0,Pope Innocent II,position-held
Q170386,0,Pope Innocent II,position-held
Q170386,0,Pope Innocent II,position-held
Q170386,0,Pope Innocent II,position-held
Q170386,0,Pope Innocent II,position-held
Q170386,0,Pope Innocent II,opposite
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,opposite
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,opposite
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,opposite
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,opposite
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q28975,0,Christopher Marlowe,position-held
Q41871,0,Paul Newman,position-held
Q5235902,0,David Kelley,contributes
Q5235902,0,David Kelley,position-held
Q5235902,0,David Kelley,opposite
Q5235902,0,David Kelley,contributes
Q5235902,0,David Kelley,position-held
Q5235902,0,David Kelley,opposite
Q230023,0,Leslie Caron,position-held
Q364083,0,Louis Jourdan,position-held
Q106001,0,Maurice Chevalier,position-held
Q484779,0,Luc Besson,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q16005909,0,Helen C. White,position-held
Q1111386,0,Robert Moses,topic
Q1111386,0,Robert Moses,equivalent-to
Q1111386,0,Robert Moses,topic
Q1111386,0,Robert Moses,equivalent-to
Q4730637,0,Allan Gotthelf,contributes
Q4730637,0,Allan Gotthelf,position-held
Q1474823,0,Van Nest Polglase,position-held
Q1255794,0,George Amy,position-held
Q5480583,0,Joseph Papp,contributes
Q318267,0,Eric Stoltz,position-held
Q773523,0,Terence Davies,position-held
Q234539,0,Elisabeth Sladen,contributes
Q234539,0,Elisabeth Sladen,position-held
Q234539,0,Elisabeth Sladen,contributes
Q234539,0,Elisabeth Sladen,position-held
Q234539,0,Elisabeth Sladen,contributes
Q234539,0,Elisabeth Sladen,position-held
Q234539,0,Elisabeth Sladen,contributes
Q234539,0,Elisabeth Sladen,position-held
Q3528697,0,Tim Stimpson,position-held
Q3528697,0,Tim Stimpson,member
Q3528697,0,Tim Stimpson,position-held
Q3528697,0,Tim Stimpson,geographicalRelation
Q3528697,0,Tim Stimpson,position-held
Q3528697,0,Tim Stimpson,member
Q3528697,0,Tim Stimpson,position-held
Q3528697,0,Tim Stimpson,geographicalRelation
Q7639958,0,Sunetra Sarker,position-held
Q7639958,0,Sunetra Sarker,position-held
Q6266817,0,Johnny Gruelle,contributes
Q6266817,0,Johnny Gruelle,contributes
Q352,0,Adolf Hitler,member
Q352,0,Adolf Hitler,geographicalRelation
Q352,0,Adolf Hitler,geographicalRelation
Q352,0,Adolf Hitler,member
Q352,0,Adolf Hitler,geographicalRelation
Q352,0,Adolf Hitler,geographicalRelation
Q652715,1,James Wilby,position-held
Q652715,1,James Wilby,contributes
Q312702,0,Jonathan Pryce,position-held
Q312702,0,Jonathan Pryce,member
Q172183,0,Chaim Weizmann,position-held
Q311311,1,Sergei Parajanov,member
Q55198,0,Alexander Dovzhenko,member
Q1124,0,Bill Clinton,position-held
Q1124,0,Bill Clinton,position-held
Q1124,0,Bill Clinton,position-held
Q1124,0,Bill Clinton,position-held
Q1124,0,Bill Clinton,position-held
Q1124,0,Bill Clinton,position-held
