person,FormerColony,label,relation
Q3002051,0,Craig Quinnell,geographicalRelation
Q361536,0,Owen Teale,position-held
Q47664,0,Catherine Zeta-Jones,position-held
Q47664,0,Catherine Zeta-Jones,contributes
Q5210548,0,Dale McIntosh,position-held
Q5210548,0,Dale McIntosh,geographicalRelation
Q3308056,0,Michael Brial,position-held
Q2337839,1,Des Terblanche,position-held
Q2337839,1,Des Terblanche,member
Q1349193,1,Mark McNulty,position-held
Q1349193,1,Mark McNulty,geographicalRelation
Q2470314,1,Steve van Vuuren,position-held
Q2470314,1,Steve van Vuuren,member
Q612279,1,Nick Price,position-held
Q612279,1,Nick Price,geographicalRelation
Q7430937,1,Schalk van der Merwe,geographicalRelation
Q2752141,1,Adilson da Silva,geographicalRelation
Q2188375,1,Trevor Dodds,geographicalRelation
Q3560510,0,Viorel Ion,position-held
Q3560510,0,Viorel Ion,position-held
Q926512,0,Liviu Ciobotariu,position-held
Q926512,0,Liviu Ciobotariu,position-held
Q359484,0,Adrian Ilie,position-held
Q359484,0,Adrian Ilie,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q202877,1,Brian Lara,position-held
Q555240,0,Shane Warne,position-held
Q555240,0,Shane Warne,position-held
Q555240,0,Shane Warne,position-held
Q555240,0,Shane Warne,position-held
Q1101987,1,Clive Lloyd,position-held
Q1101987,1,Clive Lloyd,position-held
Q5040337,1,Carl Hooper,position-held
Q2743480,0,Geoff Marsh,member
Q2743480,0,Geoff Marsh,opposite
Q2743480,0,Geoff Marsh,member
Q2743480,0,Geoff Marsh,member
Q2743480,0,Geoff Marsh,opposite
Q2743480,0,Geoff Marsh,member
Q967484,1,Shivnarine Chanderpaul,position-held
Q967484,1,Shivnarine Chanderpaul,position-held
Q967484,1,Shivnarine Chanderpaul,position-held
Q967484,1,Shivnarine Chanderpaul,position-held
Q3017555,0,David Boon,position-held
Q472649,0,Ricky Ponting,position-held
Q7491013,0,Shaun Young,position-held
Q983740,1,Courtney Walsh,position-held
Q983740,1,Courtney Walsh,position-held
Q983740,1,Courtney Walsh,position-held
Q983740,1,Courtney Walsh,position-held
Q983740,1,Courtney Walsh,position-held
Q983740,1,Courtney Walsh,position-held
Q983740,1,Courtney Walsh,position-held
Q983740,1,Courtney Walsh,position-held
Q983740,1,Courtney Walsh,position-held
Q7349553,1,Robert Samuels,position-held
Q3177366,0,Mark Waugh,position-held
Q3107289,0,Michael Bevan,position-held
Q26992,0,Stuart Law,position-held
Q7153163,0,Paul Reiffel,position-held
Q1392178,0,Glenn McGrath,position-held
Q7495466,1,Sherwin Campbell,position-held
Q3763931,1,Jimmy Adams,position-held
Q6313384,1,Junior Murray,position-held
Q16214515,1,Nixon McLean,position-held
Q3007862,1,Curtly Ambrose,position-held
Q7360273,1,Roland Holder,position-held
Q2024205,1,Ong Ewe Hock,participated
Q2024205,1,Ong Ewe Hock,geographicalRelation
Q958235,1,Rashid Sidek,participated
Q958235,1,Rashid Sidek,geographicalRelation
Q979967,1,Hermawan Susanto,geographicalRelation
Q979967,1,Hermawan Susanto,participated
Q1001420,1,Budi Santoso,geographicalRelation
Q1001420,1,Budi Santoso,participated
Q463102,1,Fung Permadi,geographicalRelation
Q463102,1,Fung Permadi,opposite
Q272479,0,Gong Zhichao,geographicalRelation
Q272479,0,Gong Zhichao,participated
Q265153,1,Mia Audina,participated
Q265153,1,Mia Audina,geographicalRelation
Q275158,0,Ye Zhaoying,geographicalRelation
Q275158,0,Ye Zhaoying,participated
Q275158,0,Ye Zhaoying,geographicalRelation
Q275158,0,Ye Zhaoying,opposite
Q275158,0,Ye Zhaoying,geographicalRelation
Q275158,0,Ye Zhaoying,participated
Q275158,0,Ye Zhaoying,geographicalRelation
Q275158,0,Ye Zhaoying,opposite
Q1917844,1,Meiluawati,participated
Q1917844,1,Meiluawati,geographicalRelation
Q464589,1,Susi Susanti,geographicalRelation
Q464589,1,Susi Susanti,participated
Q464589,1,Susi Susanti,geographicalRelation
Q464589,1,Susi Susanti,opposite
Q464589,1,Susi Susanti,geographicalRelation
Q464589,1,Susi Susanti,participated
Q464589,1,Susi Susanti,geographicalRelation
Q464589,1,Susi Susanti,opposite
Q357936,0,Daniel Pearl,position-held
Q357936,0,Daniel Pearl,geographicalRelation
Q134062,0,Walter R. Booth,position-held
Q134062,0,Walter R. Booth,position-held
Q1052322,0,Cecil Hepworth,position-held
Q162629,0,Simon Cowell,geographicalRelation
Q162629,0,Simon Cowell,position-held
Q329073,0,Chris Landreth,geographicalRelation
Q329073,0,Chris Landreth,member
Q329073,0,Chris Landreth,participated
Q709449,0,Arthur Ganson,geographicalRelation
Q139890,0,Zack Snyder,usage
Q139890,0,Zack Snyder,contributes
Q43203,0,Clint Eastwood,usage
Q43203,0,Clint Eastwood,contributes
Q18350026,0,Damien Chazelle,usage
Q18350026,0,Damien Chazelle,contributes
Q456910,0,Patty Jenkins,usage
Q456910,0,Patty Jenkins,contributes
Q512103,0,Cary Joji Fukunaga,usage
Q512103,0,Cary Joji Fukunaga,contributes
Q2444076,0,Joseph Kosinski,usage
Q2444076,0,Joseph Kosinski,contributes
Q131405,0,Louis Daguerre,contributes
Q299565,0,Henry Fox Talbot,contributes
Q185122,0,Carmen Electra,position-held
Q263906,0,Traci Bingham,position-held
Q2249390,0,Heidi Mark,position-held
Q240250,0,Joanne Dru,position-held
Q304828,0,Macdonald Carey,position-held
Q1365755,0,Kenny Florian,position-held
Q325427,0,Howard Keel,position-held
Q234117,0,Kathryn Grayson,position-held
Q313040,0,James Whitmore,position-held
Q6220032,0,John B. Mason,position-held
Q374447,0,Sam Anderson,contributes
Q374447,0,Sam Anderson,position-held
Q212518,0,Patrick Dempsey,contributes
Q212518,0,Patrick Dempsey,position-held
Q215849,0,Ellen Pompeo,contributes
Q215849,0,Ellen Pompeo,position-held
Q888391,0,John Sevier,member
Q37340,0,Apollo,relationship
Q37340,0,Apollo,contributes
Q6519669,0,Leigh S. J. Hunt,geographicalRelation
Q65448,0,Hermann Sudermann,contributes
Q1607291,1,Henry Stephenson,position-held
Q2960422,0,Charles Waldron,position-held
Q3109112,0,Juan Miguel Aguilera,equivalent-to
Q294819,1,Rodrigo Santoro,position-held
Q294819,1,Rodrigo Santoro,contributes
Q2130828,0,Randy Thom,participated
Q454541,0,Sarah Utterback,contributes
Q454541,0,Sarah Utterback,position-held
Q1372180,1,Henry Wilcoxon,position-held
Q722890,0,Michael Winner,contributes
Q123351,0,Michael Caine,geographicalRelation
Q123351,0,Michael Caine,position-held
Q123351,0,Michael Caine,position-held
Q123351,0,Michael Caine,position-held
Q123351,0,Michael Caine,geographicalRelation
Q123351,0,Michael Caine,position-held
Q123351,0,Michael Caine,position-held
Q123351,0,Michael Caine,position-held
Q123351,0,Michael Caine,geographicalRelation
Q123351,0,Michael Caine,position-held
Q123351,0,Michael Caine,position-held
Q123351,0,Michael Caine,position-held
Q134333,0,Roger Moore,position-held
Q722038,0,M. C. Gainey,contributes
Q722038,0,M. C. Gainey,position-held
Q1281792,0,Ivan Crnojević,member
Q1396875,0,Nikola Karev,member
Q318461,0,Vasil Levski,member
Q347118,0,Hristo Botev,member
Q294404,1,Henry Ian Cusick,position-held
Q294404,1,Henry Ian Cusick,contributes
Q276302,0,Michael Emerson,position-held
Q276302,0,Michael Emerson,contributes
Q28935,1,Porus,member
Q2680,0,Bruce Willis,position-held
Q40026,0,Sylvester Stallone,position-held
Q43044,0,Demi Moore,position-held
Q105460,0,John Denver,member
Q38203,0,Helen Keller,contributes
Q38203,0,Helen Keller,position-held
Q4945589,0,Crystal Eastman,contributes
Q4945589,0,Crystal Eastman,position-held
Q6913689,0,Morris Ernst,contributes
Q6913689,0,Morris Ernst,position-held
Q6913689,0,Morris Ernst,position-held
Q6913689,0,Morris Ernst,opposite
Q6913689,0,Morris Ernst,opposite
Q6913689,0,Morris Ernst,opposite
Q6913689,0,Morris Ernst,contributes
Q6913689,0,Morris Ernst,position-held
Q6913689,0,Morris Ernst,position-held
Q6913689,0,Morris Ernst,opposite
Q6913689,0,Morris Ernst,opposite
Q6913689,0,Morris Ernst,opposite
Q4798786,0,Arthur Garfield Hays,contributes
Q4798786,0,Arthur Garfield Hays,position-held
Q180989,0,Jane Addams,contributes
Q180989,0,Jane Addams,position-held
Q162820,0,Norman Thomas,position-held
Q162820,0,Norman Thomas,opposite
Q162820,0,Norman Thomas,opposite
Q162820,0,Norman Thomas,opposite
Q15460850,0,John Haynes Holmes,position-held
Q15460850,0,John Haynes Holmes,opposite
Q15460850,0,John Haynes Holmes,opposite
Q15460850,0,John Haynes Holmes,opposite
Q51559,0,Sidney Lumet,position-held
Q15436540,0,Harry F. Ward,opposite
Q15436540,0,Harry F. Ward,opposite
Q15436540,0,Harry F. Ward,opposite
Q15436540,0,Harry F. Ward,position-held
Q2478543,0,Corliss Lamont,opposite
Q2478543,0,Corliss Lamont,opposite
Q2478543,0,Corliss Lamont,opposite
Q2478543,0,Corliss Lamont,position-held
Q463265,0,Elizabeth Gurley Flynn,contributes
Q463265,0,Elizabeth Gurley Flynn,position-held
Q463265,0,Elizabeth Gurley Flynn,opposite
Q463265,0,Elizabeth Gurley Flynn,opposite
Q463265,0,Elizabeth Gurley Flynn,opposite
Q463265,0,Elizabeth Gurley Flynn,position-held
Q61742302,0,Wes Nelson,position-held
Q61742302,0,Wes Nelson,position-held
Q3876884,0,Nikki Sanderson,position-held
Q3876884,0,Nikki Sanderson,position-held
Q212790,0,David Thewlis,contributes
Q212790,0,David Thewlis,position-held
Q983928,1,Michael Aris,relationship
Q983928,1,Michael Aris,contributes
Q983928,1,Michael Aris,topic
Q983928,1,Michael Aris,position-held
Q3498411,0,Muhamed Mehmedbašić,position-held
Q3498411,0,Muhamed Mehmedbašić,position-held
Q550413,0,Vaso Čubrilović,position-held
Q550413,0,Vaso Čubrilović,position-held
Q34211,1,Yasser Arafat,position-held
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,relationship
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,position-held
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,relationship
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,position-held
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,relationship
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,position-held
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,relationship
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,position-held
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,relationship
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,position-held
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,relationship
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,position-held
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,relationship
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,position-held
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,geographicalRelation
Q34211,1,Yasser Arafat,equivalent-to
Q34211,1,Yasser Arafat,relationship
Q34211,1,Yasser Arafat,geographicalRelation
Q159995,0,Walter Hallstein,position-held
Q159995,0,Walter Hallstein,position-held
Q159995,0,Walter Hallstein,position-held
Q159995,0,Walter Hallstein,position-held
Q159995,0,Walter Hallstein,position-held
Q159995,0,Walter Hallstein,position-held
Q159995,0,Walter Hallstein,position-held
Q159995,0,Walter Hallstein,position-held
Q159995,0,Walter Hallstein,position-held
Q159995,0,Walter Hallstein,position-held
Q193752,0,John of Gaunt,position-held
Q193752,0,John of Gaunt,relationship
Q245315,0,Liu Bei,participated
Q313327,0,Sun Quan,participated
Q313327,0,Sun Quan,position-held
Q470080,0,Lü Meng,position-held
Q2638175,0,Kat Bjelland,member
Q2638175,0,Kat Bjelland,geographicalRelation
Q5443,0,Greta Garbo,position-held
Q191104,0,Sean Bean,position-held
Q1413,0,Nero,position-held
Q189422,0,Jean Dujardin,position-held
Q189422,0,Jean Dujardin,contributes
Q717539,0,Georges Picquart,equivalent-to
Q171826,0,Alfred Dreyfus,member
Q171826,0,Alfred Dreyfus,position-held
Q171826,0,Alfred Dreyfus,geographicalRelation
Q57316,0,Volker Schlöndorff,contributes
Q57316,0,Volker Schlöndorff,participated
Q182580,0,Shirley Temple,position-held
Q182580,0,Shirley Temple,position-held
Q741456,0,Nathaniel Branden,equivalent-to
Q741456,0,Nathaniel Branden,equivalent-to
Q1235503,0,Leonard Peikoff,relationship
Q1235503,0,Leonard Peikoff,relationship
Q6796120,0,Maxwell Knight,geographicalRelation
Q106143,0,Samuel Pepys,member
Q2622622,1,Alexander Iolas,position-held
Q762,0,Leonardo da Vinci,equivalent-to
Q762,0,Leonardo da Vinci,equivalent-to
Q762,0,Leonardo da Vinci,contributes
Q762,0,Leonardo da Vinci,equivalent-to
Q762,0,Leonardo da Vinci,equivalent-to
Q762,0,Leonardo da Vinci,contributes
Q104127,0,Douglas Fairbanks,relationship
Q104127,0,Douglas Fairbanks,position-held
Q5491663,0,Franklin Lewis,geographicalRelation
Q5491663,0,Franklin Lewis,position-held
Q170572,0,Alec Baldwin,position-held
Q170572,0,Alec Baldwin,contributes
Q7964331,0,Walter Bobbie,position-held
Q2808,0,Elton John,geographicalRelation
Q2808,0,Elton John,position-held
Q194419,0,Richard Branson,geographicalRelation
Q194419,0,Richard Branson,position-held
Q213581,0,Anatole Litvak,contributes
Q62503,0,Victor Fleming,position-held
Q62503,0,Victor Fleming,geographicalRelation
Q62503,0,Victor Fleming,contributes
Q62503,0,Victor Fleming,contributes
Q103646,0,Ron Howard,position-held
Q3439358,0,Roger Perry,geographicalRelation
Q307473,0,Mart Laar,position-held
Q307473,0,Mart Laar,position-held
Q189564,0,Pierre Teilhard de Chardin,geographicalRelation
Q189564,0,Pierre Teilhard de Chardin,relationship
Q189564,0,Pierre Teilhard de Chardin,relationship
Q484615,0,Ethan Hawke,position-held
Q17131,0,Pontius Pilate,member
Q9036,0,Nikola Tesla,member
Q163861,0,Harry James,relationship
Q461726,0,Mikhail Romm,position-held
Q461726,0,Mikhail Romm,geographicalRelation
Q461726,0,Mikhail Romm,position-held
Q131380,0,Kim Basinger,position-held
Q314290,0,Harry Dean Stanton,position-held
Q42891,1,Krishna,relationship
Q42891,1,Krishna,geographicalRelation
Q517,0,Napoleon,position-held
Q517,0,Napoleon,contributes
Q517,0,Napoleon,participated
Q517,0,Napoleon,position-held
Q517,0,Napoleon,contributes
Q517,0,Napoleon,position-held
Q517,0,Napoleon,contributes
Q517,0,Napoleon,participated
Q517,0,Napoleon,position-held
Q517,0,Napoleon,contributes
Q6983877,0,NeNe Leakes,position-held
Q162202,1,Nicki Minaj,position-held
Q41076,0,Mariah Carey,position-held
Q376260,0,Jeffrey Lieber,contributes
Q310556,0,Damon Lindelof,contributes
Q40531,0,John Wayne,position-held
Q215359,0,Dean Martin,position-held
Q730887,0,Lou Pearlman,geographicalRelation
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,geographicalRelation
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,contributes
Q162667,0,Glen Campbell,member
Q272253,0,Bobbie Gentry,member
Q185165,0,Olivia Newton-John,member
Q1101838,0,Sandy Pearlman,position-held
Q1101838,0,Sandy Pearlman,position-held
Q2440207,0,Tom Werman,position-held
Q2440207,0,Tom Werman,position-held
Q2440207,0,Tom Werman,position-held
Q3542638,0,Ty Burr,position-held
Q80405,0,Julianne Moore,position-held
Q1077729,0,Chris Schenkel,participated
Q1077729,0,Chris Schenkel,position-held
Q436699,0,Banjo Paterson,equivalent-to
Q436699,0,Banjo Paterson,contributes
Q51522,0,Sydney Pollack,participated
Q51522,0,Sydney Pollack,contributes
Q3317284,0,Mixmaster Morris,position-held
Q64528,0,Andrea Fischer,position-held
Q64528,0,Andrea Fischer,member
Q78587,0,Franz Fischler,position-held
Q558718,0,Lien Chan,equivalent-to
Q558718,0,Lien Chan,geographicalRelation
Q558718,0,Lien Chan,opposite
Q558718,0,Lien Chan,equivalent-to
Q558718,0,Lien Chan,geographicalRelation
Q558718,0,Lien Chan,opposite
Q155390,0,Costas Simitis,position-held
Q1554548,0,Massoud Rajavi,position-held
Q1554548,0,Massoud Rajavi,geographicalRelation
Q1554548,0,Massoud Rajavi,position-held
Q1554548,0,Massoud Rajavi,position-held
Q57410,0,Shimon Peres,equivalent-to
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,relationship
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,equivalent-to
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,relationship
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,equivalent-to
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,relationship
Q57410,0,Shimon Peres,geographicalRelation
