person,relation
Brion James,equivalent-to
Leon Kowalski,equivalent-to
Brion James,contributes
Leon Kowalski,contributes
Joanna Cassidy,equivalent-to
Zhora,equivalent-to
Joanna Cassidy,contributes
Zhora,contributes
Lee Sedol,participated
Lee Sedol,participated
Sakichi Toyoda,contributes
Mamie Van Doren,position-held
Pinky Lee,position-held
Philip K. Dick,contributes
Hampton Fancher,equivalent-to
Fancher,equivalent-to
Hampton Fancher,contributes
Michael Deeley,position-held
Ridley Scott,position-held
Ridley Scott,position-held
Manuel Toharia,geographicalRelation
Manuel Toharia,position-held
Manuel Toharia,position-held
Mick Foley,position-held
Rebecca Grant,position-held
Čapek,geographicalRelation
Paul J. McAuley,contributes
Lester del Rey,contributes
Fernando Lamas,position-held
Arlene Dahl,position-held
David Arquette,position-held
Elizabeth Berkley,position-held
Thomas Jane,position-held
Norman McLaren,position-held
Norman McLaren,position-held
Norman McLaren,position-held
The Wachowskis,contributes
J. Michael Straczynski,contributes
Dalton,position-held
Daniel Pearl,position-held
Daniel Pearl,geographicalRelation
Judea,contributes
Judea,position-held
John Waters,position-held
Walter R. Booth,position-held
Walter R. Booth,position-held
Cecil Hepworth,position-held
Chris Landreth,geographicalRelation
Chris Landreth,member
Chris Landreth,participated
Zack Snyder,usage
Zack Snyder,contributes
Clint Eastwood,usage
Clint Eastwood,contributes
Damien Chazelle,usage
Damien Chazelle,contributes
Patty Jenkins,usage
Patty Jenkins,contributes
Cary Joji Fukunaga,usage
Cary Joji Fukunaga,contributes
Joseph Kosinski,usage
Joseph Kosinski,contributes
Louis Daguerre,contributes
Henry Fox Talbot,contributes
David Avidan,equivalent-to
Donna D 'Errico,position-held
Carmen Electra,position-held
Traci Bingham,position-held
Heidi Mark,position-held
Randy,relationship
Jason Sklar,relationship
John Ireland,position-held
Joanne Dru,position-held
Macdonald Carey,position-held
Jack Broder,contributes
Kenny Florian,position-held
Edsinger,position-held
Weber,position-held
Sean Young,position-held
Sean Young,equivalent-to
Rachael,equivalent-to
Sean Young,contributes
Rachael,contributes
Rachael,member
Tyrell,member
Rachael,position-held
Nina Axelrod,position-held
Adam Savage,member
Adam Savage,position-held
Vernon Davis,position-held
Michael Stevens,position-held
Michael Stevens,equivalent-to
Vsauce,equivalent-to
Dug North,geographicalRelation
Chomick + Meder,geographicalRelation
Arthur Ganson,geographicalRelation
Joe Jones,geographicalRelation
Jacques Monestier,contributes
Jacques Monestier,equivalent-to
François Junod,geographicalRelation
Devol,position-held
Sam Katzman,position-held
William Castle,position-held
Cole Porter,position-held
Howard Keel,position-held
Kathryn Grayson,position-held
Ann Miller,position-held
Keenan Wynn,position-held
Bobby Van,position-held
James Whitmore,position-held
Kurt Kasznar,position-held
Tommy Rall,position-held
John B. Mason,position-held
Jim the Penman,position-held
Jim the Penman,contributes
Francis Ford Coppola,position-held
Michael Jackson,position-held
John Wayne,position-held
Rita Hayworth,position-held
Dean Martin,position-held
Jerry Lewis,position-held
Oldman,participated
Joseph Conrad,contributes
Charles Villiers Stanford,contributes
Timothy Leary,position-held
Richard Alpert,position-held
Noah Webster Sr.,relationship
Noah Webster Sr.,relationship
Mercy ( Steele ) Webster,relationship
Mercy ( Steele ) Webster,relationship
William Bradford,relationship
William Bradford,geographicalRelation
Noah,relationship
Abraham,relationship
Noah,relationship
Charles,relationship
Garp,member
Sue Bridehead,member
Edward Ashburnham,member
Sakharov,position-held
Sakharov,participated
Alfonso Cuarón,contributes
Marsters,geographicalRelation
Marsters,position-held
Ferdinand,position-held
Marsters,contributes
Ferdinand,contributes
Ferdinand,member
Bernard Miles,position-held
Milligan,position-held
Milligan,position-held
Ben Gunn,position-held
Milligan,geographicalRelation
Milligan,contributes
Ben Gunn,contributes
Ben Gunn,member
Einstein,relationship
Einstein,relationship
Charlie Chaplin,relationship
Charlie Chaplin,member
Charlie Chaplin,member
Jeroboam II,participated
Uzziah,participated
Jeroboam II,position-held
Uzziah,position-held
Wajda,participated
Wajda,geographicalRelation
Wajda,contributes
Wajda,contributes
Bergman,participated
Bergman,contributes
Wajda,contributes
Zbigniew Cybulski,contributes
Sandrine Bonnaire,position-held
Bruno Ganz,position-held
Kennedy,topic
Kennedy,position-held
Davy,position-held
Davy,position-held
Davy,position-held
Nimzowitsch,opposite
Hans Kmoch,opposite
Hans Kmoch,position-held
Virgil,member
Averroes,member
Homer,member
Horace,member
Ovid,member
Lucan,member
Socrates,member
Plato,member
Saladin,member
Nicky Henson,position-held
Napoleon,position-held
Nicky Henson,contributes
Napoleon,contributes
Toby Jones,position-held
Squealer,position-held
Toby Jones,contributes
Squealer,contributes
Ralph Ineson,position-held
Boxer,position-held
Ralph Ineson,contributes
Boxer,contributes
Luchino Visconti,position-held
Burt Lancaster,position-held
Alain Delon,position-held
Claudia Cardinale,position-held
Tom Tykwer,position-held
Belisarius,topic
Belisarius,geographicalRelation
Pope Innocent II,position-held
Pope Innocent II,position-held
Pope Innocent II,position-held
Pope Innocent II,position-held
Pope Innocent II,position-held
Pope Innocent II,position-held
Pope Innocent II,opposite
Antipope Anacletus II,opposite
Antipope Anacletus II,position-held
Antipope Anacletus II,position-held
Antipope Anacletus II,position-held
Antipope Anacletus II,position-held
Antipope Anacletus II,position-held
Antipope Anacletus II,position-held
Antipope Anacletus II,position-held
Delia,member
Peter Hall,position-held
Dr. John Dee,member
Sir Philip Sidney,geographicalRelation
Sir Philip Sidney,participated
Sir Philip Sidney,position-held
Christopher Marlowe,position-held
Paul Newman,position-held
Alex Rodríguez,position-held
Ian Angus,position-held
Bernard Crick,position-held
Leslie Caron,position-held
Louis Jourdan,position-held
Maurice Chevalier,position-held
Spengler,geographicalRelation
Bush,position-held
Bush,position-held
Augustus,participated
Augustus,participated
Augustus,participated
Augustus,participated
Augustus,participated
Augustus,position-held
Augustus,position-held
Allan Gotthelf,contributes
Allan Gotthelf,position-held
George Walsh,contributes
George Walsh,position-held
David Kelley,contributes
David Kelley,position-held
Eric Stoltz,position-held
Terence Davies,position-held
Gordon,position-held
Gordon,position-held
Gordon,geographicalRelation
Gordon,geographicalRelation
Gordon,geographicalRelation
Gordon,contributes
Dolly Levi,member
"Harry Roat , Jr",member
Lavigne,position-held
Lavigne,contributes
Johnny Gruelle,contributes
Carter,position-held
Carter,participated
Carter,contributes
Carter,contributes
Carter,contributes
Kenneth Branagh,geographicalRelation
Kenneth Branagh,participated
Big Brother,member
Adolf Hitler,member
Adolf Hitler,geographicalRelation
Adolf Hitler,geographicalRelation
Bigger Thomas,member
Wright,member
Bigger Thomas,member
Bigger Thomas,position-held
Wright,position-held
Augustus,geographicalRelation
Klinger,position-held
.J. R. Williams,contributes
James Wilby,position-held
James Wilby,contributes
Jonathan Pryce,position-held
W. H. R. Rivers,position-held
Jonathan Pryce,member
W. H. R. Rivers,member
W. H. R. Rivers,position-held
Eupolemus,member
Eupolemus,geographicalRelation
Moses,position-held
Chaim Weizmann,position-held
Albert Einstein,geographicalRelation
Gittel,geographicalRelation
Devorah,geographicalRelation
Boris Barnet,member
Sergei Parajanov,member
Alexander Dovzhenko,member
Dennis MacAlistair Ritchie,equivalent-to
Ritchie,equivalent-to
Dennis MacAlistair Ritchie,participated
Dennis MacAlistair Ritchie,participated
Ritchie,participated
Ritchie,participated
Ritchie,participated
Thompson,participated
Bill Clinton,position-held
Thornton,position-held
Thornton,position-held
Earl Scruggs,position-held
Johnny Cash,contributes
Moore,participated
Moore,position-held
Moore,participated
Moore,geographicalRelation
Moore,position-held
Havens,geographicalRelation
Havens,participated
Apuleius,geographicalRelation
Apuleius,equivalent-to
Apuleius,equivalent-to
Septimius Severus,equivalent-to
Wilson,position-held
Wes Anderson,contributes
Jason Schwartzman,position-held
Adrien Brody,position-held
Warren Lewis,member
Warren Lewis,position-held
Robert Knox,equivalent-to
".Knox , Robert",equivalent-to
Robert Knox,position-held
Rajasinha II of Kandy,position-held
Rajasinha II of Kandy,geographicalRelation
Rajasinha II of Kandy,position-held
Robert Knox,contributes
Albert Gallatin,position-held
Sebastian,contributes
Claude Rains,contributes
Sebastian,position-held
Claude Rains,position-held
Alicia Huberman,contributes
Ingrid Bergman,contributes
Alicia Huberman,position-held
Ingrid Bergman,position-held
Kelly,relationship
Domingo Ding Chavez,relationship
Kelly,position-held
Kelly,geographicalRelation
Kelly,equivalent-to
Clark,equivalent-to
Domingo Ding Chavez,position-held
Domingo Ding Chavez,geographicalRelation
Bal Thackeray,position-held
Bal Thackeray,position-held
Bal Thackeray,geographicalRelation
Pope,relationship
Pope,relationship
Goldberg,position-held
Celie,position-held
Goldberg,position-held
Goldberg,participated
Goldberg,contributes
Celie,contributes
Celie,geographicalRelation
Celie,member
Murdoch,relationship
Lloyd,participated
Vijayachandra,relationship
Jayachandra,relationship
Fry,position-held
Fry,geographicalRelation
Phoenix,participated
Phoenix,geographicalRelation
Phoenix,participated
Kim Novak,position-held
Eva Marie Saint,position-held
John F. Kennedy,participated
Japhy Ryder,member
Japhy Ryder,contributes
Dean Moriarty,contributes
Dean Moriarty,member
Zavattini,member
Augustus,opposite
Augustus,geographicalRelation
Augustus,position-held
Harry Angstrom,member
Gates,position-held
Tony Blair,equivalent-to
George DeMarco,geographicalRelation
George DeMarco,participated
David Gerard,geographicalRelation
David Gerard,participated
James Watts,geographicalRelation
Jack Ryan,position-held
Jack Ryan,equivalent-to
Grete Trakl,relationship
Jagger,position-held
Jagger,position-held
Ned Kelly,position-held
Ned Kelly,equivalent-to
Jagger,contributes
Ned Kelly,contributes
George Washington,position-held
Spooner,position-held
More,member
Margaret of Valois,position-held
Melanie Daniels,member
Mitch Brenner,member
Mitch Brenner,member
Rod Taylor,member
Mitch Brenner,position-held
Rod Taylor,position-held
Allan Massie,position-held
Allan Massie,position-held
Hannon,contributes
Helen C. White,position-held
Gansevoort,position-held
Gansevoort,geographicalRelation
George W. Bush,position-held
George W. Bush,contributes
Sennacherib,equivalent-to
Sennacherib,geographicalRelation
Richard Jones,participated
Van Sant,participated
Van Sant,member
Van Sant,contributes
Andromache,position-held
Andromache,member
John Milius,contributes
Conan,contributes
Conan,contributes
Conan,contributes
Conan,contributes
Baron Cohen,position-held
Baron Cohen,position-held
Baron Cohen,position-held
Baron Cohen,position-held
Hugo,position-held
Baron Cohen,position-held
Baron Cohen,contributes
Ellis,equivalent-to
Zarelli,equivalent-to
Ellis,contributes
Gide,geographicalRelation
Gide,geographicalRelation
Gide,geographicalRelation
Gide,geographicalRelation
Gide,geographicalRelation
Kat Bjelland,member
Kat Bjelland,geographicalRelation
Greta Garbo,position-held
George Cukor,position-held
Nora,position-held
Sean Bean,position-held
Owen Teale,position-held
Bush,contributes
Fletcher,contributes
Anne,relationship
Conan,equivalent-to
Conan,equivalent-to
Nero,position-held
Alvida,geographicalRelation
Alvida,position-held
Alvida,relationship
Torrismondo,relationship
Torrismondo,equivalent-to
Napoleon,participated
Wilder,participated
Wilder,participated
Wilder,position-held
Polanski,contributes
Jean Dujardin,position-held
Jean Dujardin,contributes
Georges Picquart,equivalent-to
Alfred Dreyfus,member
Alfred Dreyfus,position-held
Alfred Dreyfus,geographicalRelation
Maud Muller,participated
Henry Morgan,position-held
Empress Wu,geographicalRelation
John F. Kennedy,geographicalRelation
John F. Kennedy,position-held
Maysles,contributes
Maysles,contributes
Nixon,opposite
Nixon,equivalent-to
Nixon,equivalent-to
Nixon,contributes
Mansur I,position-held
Marie-Laure LeBlanc,topic
Volker Schlöndorff,contributes
Volker Schlöndorff,participated
Shirley Temple,position-held
Shirley Temple,position-held
Dwan,contributes
Dwan,contributes
Franklin,participated
Franklin,member
Franklin,participated
Herbert / Anderson,contributes
Herbert / Anderson,contributes
Alan Greenspan,position-held
Alan Greenspan,position-held
Nathan Blumenthal,equivalent-to
Nathan Blumenthal,position-held
Nathan Blumenthal,equivalent-to
Nathaniel Branden,equivalent-to
Leonard Peikoff,relationship
Maxwell Knight,geographicalRelation
Samuel Pepys,member
Robert Harley,position-held
Leslie Howard,contributes
Leslie Howard,position-held
Ortega,topic
Hoffman Reynolds Hays,position-held
Abunuwasi,member
Abunuwasi,member
Abunuwasi,equivalent-to
Abunawas,equivalent-to
Ada Lovelace,member
Ignatius J. Reilly,member
Alexander Iolas,position-held
Leonardo da Vinci,equivalent-to
Leonardo da Vinci,equivalent-to
Leonardo da Vinci,contributes
Dwan,member
Dwan,relationship
Douglas Fairbanks,relationship
Mary Pickford,member
Mary Pickford,position-held
Douglas Fairbanks,position-held
Saul Braun,contributes
Franklin Lewis,geographicalRelation
Franklin Lewis,position-held
Remment Koolhaas,geographicalRelation
Remment Koolhaas,relationship
Remment Koolhaas,relationship
Selinde Pietertje Roosenburg,relationship
Remment Koolhaas,equivalent-to
Rem Koolhaas,equivalent-to
McEntire,position-held
Nellie Forbush,position-held
McEntire,contributes
Nellie Forbush,contributes
Nellie Forbush,member
Alec Baldwin,position-held
Luther Billis,position-held
Luther Billis,member
Alec Baldwin,contributes
Luther Billis,contributes
Brian Stokes Mitchell,position-held
Emile de Becque,position-held
Emile de Becque,member
Brian Stokes Mitchell,contributes
Emile de Becque,contributes
Walter Bobbie,position-held
Fry,geographicalRelation
Fry,position-held
Michael Caine,geographicalRelation
Michael Caine,position-held
Elton John,geographicalRelation
Elton John,position-held
Richard Branson,geographicalRelation
Richard Branson,position-held
Simon Cowell,geographicalRelation
Simon Cowell,position-held
Wilson,member
Wilson,position-held
Wilson,position-held
Wilson,position-held
Wilson,position-held
Wilson,position-held
Anatole Litvak,contributes
D. Alexandre,relationship
D. Alexandre,equivalent-to
Aeneas,member
Aeneas,relationship
Penates,relationship
Dardanus,geographicalRelation
Father Iasius,geographicalRelation
Penates,geographicalRelation
Lena Dunham,contributes
Lena Dunham,position-held
Dwan,geographicalRelation
Dwan,position-held
Victor Fleming,position-held
Dwan,position-held
Victor Fleming,geographicalRelation
Victor Fleming,contributes
Victor Fleming,contributes
Michel,relationship
Ron Howard,position-held
Berkoff,position-held
Woggle-Bug,equivalent-to
Woggle-Bug,equivalent-to
Larry Patterson,geographicalRelation
Roger Perry,geographicalRelation
Miller,participated
Miller,contributes
Mart Laar,position-held
Mart Laar,position-held
Rumsfeld,position-held
Rumsfeld,position-held
Rumsfeld,position-held
Rumsfeld,position-held
Rumsfeld,position-held
Walt Disney,position-held
Theseus,member
Theseus,geographicalRelation
Theseus,geographicalRelation
Theseus,geographicalRelation
Beethoven,contributes
Beethoven,contributes
Thorpe,member
Thorpe,geographicalRelation
Thorpe,position-held
Richard Nixon,geographicalRelation
Pierre Teilhard de Chardin,geographicalRelation
Pierre Teilhard de Chardin,relationship
Emmanuel Teilhard de Chardin,relationship
Pierre Teilhard de Chardin,relationship
"Berthe-Adèle , née de Dompierre d 'Hornoys of Picardy",relationship
"Berthe-Adèle , née de Dompierre d 'Hornoys of Picardy",relationship
Cuarón,contributes
Lee,participated
Lee,contributes
Coens,contributes
Coens,contributes
Gaozu,geographicalRelation
Gaozu,position-held
Ethan Hawke,position-held
Gwyneth Paltrow,position-held
Robert De Niro,position-held
Curley,geographicalRelation
Major Jack Celliers,member
Jareth,member
Jareth,equivalent-to
Pontius Pilate,member
Nikola Tesla,member
Thornton,relationship
Pietra Dawn Cherniak,relationship
Thornton,relationship
Harry James,relationship
Thornton,relationship
William,relationship
Pietra Dawn Cherniak,position-held
Chaviano,equivalent-to
Melisa,member
Melisa,contributes
Chaviano,contributes
Melisa,member
Mikhail Romm,position-held
Mikhail Romm,geographicalRelation
Mikhail Romm,position-held
Kim Basinger,position-held
Harry Dean Stanton,position-held
Randy Quaid,position-held
Holmes,member
Holmes,member
Holmes,member
Edwards,position-held
Maria,relationship
Maria,relationship
Maria,relationship
Elizabeth,relationship
Maria,relationship
Maria,relationship
Maria,relationship
Maria,relationship
Maria,relationship
Elizabeth Branwell,relationship
Charles Lindbergh,position-held
Kuchela,relationship
Krishna,relationship
Kuchela,geographicalRelation
Krishna,geographicalRelation
George Canning,equivalent-to
Peikoff,opposite
David Kelley,opposite
Peikoff,position-held
Peikoff,member
Maria Teresa,relationship
Laura,geographicalRelation
Charles,position-held
Charles,position-held
Idle Jack,position-held
Charles,contributes
Idle Jack,contributes
Idle Jack,member
Dr. ' A,equivalent-to
Eisenhower,geographicalRelation
Eisenhower,position-held
Eisenhower,position-held
Eisenhower,equivalent-to
Eisenhower,equivalent-to
Lefty Feep,contributes
Emperor Toghon Temür,position-held
Emperor Toghon Temür,participated
Princess Noguk,relationship
Princess Noguk,relationship
Gongmin,relationship
Princess Noguk,equivalent-to
Lindbergh,equivalent-to
Lindbergh,equivalent-to
Lindbergh,topic
Marcel Janco,contributes
Jim Broadbent,position-held
Major,member
Norman,member
Mr Dr Mawhinney,member
Donald Cammell,contributes
Nicolas Roeg,contributes
Ty Burr,position-held
DiCaprio,participated
Luhrmann,participated
Joseph Papp,contributes
Clive Owen,position-held
Julianne Moore,position-held
Michael Caine,position-held
Robert Moses,topic
Robert Moses,equivalent-to
Moses,equivalent-to
Moses,contributes
Fry,position-held
Gruelle,relationship
Gruelle,equivalent-to
John Gruelle,equivalent-to
John Gruelle,contributes
Jackie,participated
Jackie,participated
Jackie,position-held
Chris Schenkel,participated
Chris Schenkel,position-held
Augustine,geographicalRelation
Nichols,participated
Nichols,position-held
Diederichs,position-held
Holden Caulfield,contributes
Holden Caulfield,member
Sebastion Dangerfield,member
Sebastion Dangerfield,member
Jonson,equivalent-to
Jonson,contributes
Jonson,contributes
Jonson,contributes
Salomon Pavy,position-held
Banjo Paterson,equivalent-to
Banjo Paterson,contributes
Sidney Lumet,position-held
Kurosawa,position-held
Kurosawa,position-held
Sydney Pollack,participated
Sydney Pollack,contributes
Coldcut,position-held
Mixmaster Morris,position-held
Caterina di Giacomo di Benincasa,participated
Caterina di Giacomo di Benincasa,geographicalRelation
Caterina di Giacomo di Benincasa,relationship
Lapa Piagenti,relationship
Caterina di Giacomo di Benincasa,relationship
Giacomo di Benincasa,relationship
Baron Cohen,geographicalRelation
Baron Cohen,position-held
Baron Cohen,position-held
Baron Cohen,equivalent-to
Baron Cohen,equivalent-to
Baron Cohen,position-held
Baron Cohen,position-held
Baron Cohen,position-held
Andrews,participated
Andrews,participated
Andrews,participated
Andrews,participated
Andrews,participated
Andrews,participated
Andrews,participated
Andrews,participated
Andrews,participated
Carroll Clark,position-held
Van Nest Polglase,position-held
Hermes Pan,position-held
Hermes Pan,contributes
Hermes Pan,contributes
Gregory Peck,position-held
Antonia Apodaca,member
Burton,participated
Burton,participated
Burton,contributes
Andrews,participated
Holly Holliday,position-held
Holly Holliday,contributes
Holly Holliday,member
Bill Graham,geographicalRelation
Bill Graham,position-held
James Cagney,participated
Schmidt,geographicalRelation
Barney Bubbles,position-held
Barney Bubbles,position-held
Barney Bubbles,position-held
Barney Bubbles,position-held
Barney Bubbles,position-held
Barney Bubbles,position-held
Kidman,participated
George Lucas,position-held
Lucas,position-held
Willard Huyck,position-held
Gloria Katz,position-held
Candy Clark,position-held
Verna Fields,position-held
Marcia Lucas,position-held
Michael Jackson,member
Cimino,participated
Walken,participated
Bob Marley,relationship
De Niro,position-held
Foster,position-held
Nova,geographicalRelation
Nova,position-held
Nova,participated
Nova,geographicalRelation
Nova,position-held
Nova,participated
Nova,contributes
De Niro,position-held
Brad Shoup,member
Brad Shoup,position-held
Pete Wilson,position-held
Nick Grimshaw,geographicalRelation
Rita Ora,geographicalRelation
Paolo Nutini,geographicalRelation
Hopkins,participated
Tyler,position-held
Tyler,position-held
Tyler,position-held
Tyler,position-held
Constanța Burcică,participated
Constanța Burcică,participated
Jones,participated
Zine Eddine Benmakhlouf,participated
Jones,position-held
Jones,geographicalRelation
Zine Eddine Benmakhlouf,position-held
Zine Eddine Benmakhlouf,geographicalRelation
Ivan Mladina,geographicalRelation
Ivan Mladina,geographicalRelation
Ivan Mladina,position-held
Tim Burton,geographicalRelation
Tim Burton,participated
Tim Burton,contributes
Tim Burton,contributes
Evan Lysacek,usage
Evan Lysacek,participated
Schayes,position-held
Schayes,position-held
Walter Huston,position-held
George Amy,position-held
Diane Keaton,participated
Woody Allen,participated
Lemmon,participated
Lucian K. Truscott IV,position-held
Ricky Martin,member
Ricky Martin,position-held
Justin Timberlake,member
Justin Timberlake,position-held
Ronan Keating,member
Ronan Keating,position-held
Wilnelia Merced,participated
Wilnelia Merced,geographicalRelation
Parsons,position-held
Parsons,position-held
Parsons,position-held
Parsons,position-held
Mario Puzo,participated
Bob Dylan,position-held
Govere,geographicalRelation
Govere,position-held
Govere,position-held
Govere,contributes
Johnston,position-held
Johnston,position-held
Vicki Mortimer,participated
Baron Cohen,participated
Baron Cohen,participated
Baron Cohen,position-held
Baron Cohen,position-held
